Easting_m,Northing_m,Height_m,Diameter_m,Strike_rad,Dip_rad,Type_type,FrictionAngle_rad,Cohesion_Pa,ProppantLoad_m3,ProppantCompressibility_1pPa,Tortuosity_ratio,ProppantPermeability_m2,HydraulicDilation_ratio,Compressibility_1pPa,DilationSlip_ratio,SlipLength_ratio,InitialHydraulicAperture_m
329.71,-81.63,-94.875,297,3.555235686,1.556833693,2,0.54,1.00E+05,100,3.00E-08,0.83,1.00E-10,0.65,3.00E-08,0.16,0.01,0.00006
338.51,7.67,-139.875,148.6,3.087487447,1.51669112,2,0.54,1.00E+05,50,3.00E-08,0.99,1.00E-10,0.45,3.00E-08,0.24,0.01,0.00002
476.71,-88.93,-267.675,110,2.642428488,0.570722665,1,0.54,1.00E+05,35,3.00E-08,0.99,1.00E-10,0.68,3.00E-08,0.3,0.01,0.00009
485.11,-117.63,-300.475,177,5.791002458,0.56025069,1,0.54,1.00E+05,60,3.00E-08,0.98,1.00E-10,0.51,3.00E-08,0.14,0.01,0.00016
463.11,-152.13,-7.875,120,1.596976266,1.335176878,1,0.54,1.00E+05,40,3.00E-08,0.75,1.00E-10,0.62,3.00E-08,0.16,0.01,0.00012
436.41,-128.73,-209.375,50,3.59363293,1.570796327,2,0.54,1.00E+05,15,3.00E-08,0.93,1.00E-10,0.62,3.00E-08,0.23,0.01,0.00008
458.81,-140.53,-166.975,119,2.937389131,0.904080553,1,0.54,1.00E+05,40,3.00E-08,0.91,1.00E-10,0.64,3.00E-08,0.06,0.01,0.00006
485.51,-128.23,-314.775,108.8,3.063052837,0.691150384,1,0.54,1.00E+05,35,3.00E-08,0.89,1.00E-10,0.67,3.00E-08,0.3,0.01,0.00009
543.91,-129.83,-112.275,150,3.007202301,0.717330323,1,0.54,1.00E+05,50,3.00E-08,0.84,1.00E-10,0.6,3.00E-08,0.22,0.01,0.00019
494.01,-117.33,-149.875,220,6.215117466,1.284562329,1,0.54,1.00E+05,75,3.00E-08,1,1.00E-10,0.46,3.00E-08,0.16,0.01,0.0002
425.01,-136.63,-180.375,103,3.378957432,0.324631241,1,0.54,1.00E+05,35,3.00E-08,0.79,1.00E-10,0.64,3.00E-08,0.1,0.01,0.00011
434.51,-111.13,-149.575,122.4,2.982767692,0.251327412,1,0.54,1.00E+05,40,3.00E-08,0.97,1.00E-10,0.79,3.00E-08,0.31,0.01,0.00008
446.21,-108.73,-115.875,108.8,3.052580862,0.855211333,1,0.54,1.00E+05,35,3.00E-08,0.99,1.00E-10,0.52,3.00E-08,0.06,0.01,0.00019
432.91,-145.53,6.725,83.8,2.837905364,0.544542727,1,0.54,1.00E+05,30,3.00E-08,0.99,1.00E-10,0.55,3.00E-08,0.18,0.01,0.00015
438.31,-156.63,-18.575,118.6,2.879793266,0.553269373,1,0.54,1.00E+05,40,3.00E-08,0.75,1.00E-10,0.51,3.00E-08,0.17,0.01,0.00012
